filename;car_number
HG0A3226.CR3;183
HG0A3237.CR3;24
HG0A3238.CR3;311
HG0A3244.CR3;009
HG0A3248.CR3;007
HG0A3250.CR3;88
HG0A3251.CR3;10
HG0A3254.CR3;60
HG0A3256.CR3;31
HG0A3257.CR3;27
HG0A3262.CR3;11
HG0A3263.CR3;78
HG0A3267.CR3;8
HG0A3268.CR3;28
HG0A3272.CR3;16
HG0A3277.CR3;92
HG0A3278.CR3;92
HG0A3279.CR3;85
HG0A3281.CR3;88
HG0A3283.CR3;101
HG0A3284.CR3;101
HG0A3286.CR3;45
HG0A3288.CR3;51
HG0A3289.CR3;54
HG0A3290.CR3;51
HG0A3291.CR3;31
HG0A3292.CR3;25
HG0A3293.CR3;10
HG0A3296.CR3;7
HG0A3299.CR3;83
HG0A3302.CR3;18
HG0A3304.CR3;311
HG0A3307.CR3;46
HG0A3309.CR3;12
HG0A3311.CR3;63
HG0A3313.CR3;009
HG0A3314.CR3;150
HG0A3316.CR3;48
HG0A3318.CR3;94
HG0A3320.CR3;15
HG0A3326.CR3;95
HG0A3327.CR3;95
HG0A3330.CR3;35
HG0A3333.CR3;57
HG0A3335.CR3;78
HG0A3337.CR3;199
HG0A3338.CR3;90
HG0A3340.CR3;24
HG0A3342.CR3;101
HG0A3344.CR3;83
HG0A3346.CR3;28
HG0A3349.CR3;59
HG0A3351.CR3;88
HG0A3354.CR3;46
HG0A3357.CR3;10
HG0A3361.CR3;36
HG0A3362.CR3;9
HG0A3363.CR3;9
HG0A3365.CR3;92
HG0A3366.CR3;27
HG0A3368.CR3;60
HG0A3370.CR3;23
HG0A3371.CR3;90
HG0A3372.CR3;22
HG0A3373.CR3;50
HG0A3375.CR3;12
HG0A3379.CR3;16
HG0A3381.CR3;007
HG0A3382.CR3;17
HG0A3383.CR3;93
HG0A3386.CR3;63
HG0A3387.CR3;63
HG0A3388.CR3;34
HG0A3389.CR3;35
HG0A3390.CR3;36
HG0A3392.CR3;92
HG0A3393.CR3;193
HG0A3396.CR3;33
HG0A3404.CR3;21
HG0A3408.CR3;78
HG0A3412.CR3;54
HG0A3416.CR3;21
HG0A3420.CR3;15
HG0A3423.CR3;83
HG0A3424.CR3;16
HG0A3430.CR3;13
HG0A3436.CR3;57
HG0A3438.CR3;195
HG0A3440.CR3;59
HG0A3456.CR3;007
HG0A3458.CR3;78
HG0A3471.CR3;43
HG0A3474.CR3;007
HG0A3477.CR3;93
HG0A3479.CR3;84
HG0A3481.CR3;24
HG0A3482.CR3;97
HG0A3483.CR3;97
HG0A3484.CR3;97
HG0A3486.CR3;50
HG0A3487.CR3;6
HG0A3488.CR3;311
HG0A3489.CR3;48
HG0A3494.CR3;37
HG0A3496.CR3;61
HG0A3497.CR3;24
HG0A3500.CR3;007
HG0A3501.CR3;007
HG0A3502.CR3;63
HG0A3503.CR3;38
HG0A3508.CR3;613
HG0A3509.CR3;97
HG0A3510.CR3;51
HG0A3512.CR3;708
HG0A3513.CR3;52
HG0A3514.CR3;69
HG0A3515.CR3;28
HG0A3518.CR3;24
HG0A3519.CR3;150
HG0A3523.CR3;22
HG0A3524.CR3;007
HG0A3526.CR3;93
HG0A3528.CR3;9
HG0A3531.CR3;00
HG0A3532.CR3;311
HG0A3538.CR3;33
HG0A3539.CR3;59
HG0A3540.CR3;46
HG0A3541.CR3;33
HG0A3542.CR3;24
HG0A3543.CR3;48
HG0A3545.CR3;180
HG0A3546.CR3;150
HG0A3547.CR3;007
HG0A3548.CR3;007
HG0A3550.CR3;22
HG0A3552.CR3;50
HG0A3553.CR3;50
HG0A3554.CR3;6
HG0A3555.CR3;6
HG0A3556.CR3;37
HG0A3559.CR3;300
HG0A3564.CR3;85
HG0A3567.CR3;97
HG0A3568.CR3;57
HG0A3569.CR3;38
HG0A3571.CR3;54
HG0A3572.CR3;60
HG0A3578.CR3;50
HG0A3579.CR3;6
HG0A3584.CR3;74
HG0A3585.CR3;74
HG0A3587.CR3;64
HG0A3589.CR3;311
HG0A3591.CR3;46
HG0A3592.CR3;00
HG0A3593.CR3;63
HG0A3594.CR3;66
HG0A3595.CR3;97
HG0A3596.CR3;66
HG0A3598.CR3;93
HG0A3600.CR3;21
HG0A3602.CR3;31
HG0A3603.CR3;50
HG0A3610.CR3;007
HG0A3614.CR3;93
HG0A3615.CR3;54
HG0A3616.CR3;63
HG0A3617.CR3;60
HG0A3619.CR3;28
HG0A3621.CR3;83
HG0A3623.CR3;4
HG0A3626.CR3;28
HG0A3628.CR3;48
HG0A3629.CR3;48
HG0A3631.CR3;15
HG0A3632.CR3;7
HG0A3633.CR3;83
HG0A3634.CR3;911
HG0A3635.CR3;97
HG0A3636.CR3;597
HG0A3637.CR3;37
HG0A3639.CR3;13
HG0A3642.CR3;83
HG0A3644.CR3;56
HG0A3649.CR3;83
HG0A3652.CR3;6
HG0A3654.CR3;50
HG0A3657.CR3;56
HG0A3658.CR3;1
HG0A3659.CR3;4
HG0A3660.CR3;150
HG0A3661.CR3;31
HG0A3662.CR3;60
HG0A3663.CR3;60
HG0A3667.CR3;009
